whengreenflagpressed,greenflag
movesteps,movesteps
turnrightdegrees,turnright
turnleftdegrees,turnleft
pointindirection,pointindirection
waitseconds,wait
repeat,repeat
forever,forever
ifthen,if_
ifthenelse,if_else
waituntil,wait_until
repeatuntil,repeat_until
repeat,repeat
stop,stop
islessthan,less_than
isgreaterthan,greater_than
equals,equals
and,and_
or,or_
not,not_
addand,add
subtractby,subtract
mutiplyand,multiply
divideby,divide
pickrandomto,random
mod,mod
round,round
of,mathop
join,join
letterof,letter_of
lengthof,length
contains?,contains